Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
LAD,4.54,6300,22858,3.63,14336,63.1%,27.4%,12.8%,25.8%,33.9%,72.6%,1.7%,45.8%,82.3%,27.6%,5.1%,322,25,14.2%,894,318,8.9%,560,301,205,655,23.7%,-18,0,0
MIL,4.94,6250,23216,3.71,14785,64.3%,26.2%,16.0%,27.2%,30.6%,73.8%,2.6%,47.4%,78.3%,29.0%,5.3%,330,9,14.1%,881,305,7.9%,491,262,240,890,21.1%,-12,0,0
MIN,4.43,6168,22991,3.73,14503,63.5%,30.0%,11.3%,25.8%,32.8%,70.0%,1.7%,44.4%,83.9%,24.5%,4.5%,278,12,13.9%,859,279,8.8%,543,228,231,607,27.5%,-7,0,0
NYM,4.96,6360,23668,3.72,14745,62.9%,28.0%,13.3%,26.5%,32.3%,72.0%,2.4%,45.3%,81.6%,26.3%,5.9%,378,10,15.6%,995,334,9.0%,574,306,245,730,25.0%,-16,0,0
NYY,5.98,6545,25359,3.87,15370,60.9%,29.5%,12.0%,27.1%,31.4%,70.5%,1.2%,42.9%,83.0%,23.9%,5.5%,363,16,16.4%,1071,379,10.5%,684,360,281,710,28.4%,-17,0,0
OAK,4.57,6368,24871,3.91,15223,61.5%,31.0%,13.7%,25.6%,29.8%,69.0%,1.1%,42.4%,80.2%,24.2%,5.2%,331,3,15.2%,971,342,10.1%,643,325,359,759,32.1%,-3,0,0
PHI,5.51,6546,25334,3.87,15578,62.1%,28.7%,14.6%,27.1%,29.5%,71.3%,2.6%,44.3%,79.5%,24.2%,5.6%,365,44,15.9%,1040,395,9.4%,618,321,311,885,25.8%,-9,0,0
PIT,4.47,6224,23336,3.75,14958,64.4%,27.5%,14.3%,27.9%,30.4%,72.5%,1.4%,46.7%,80.3%,28.5%,3.5%,220,5,13.0%,807,370,7.8%,487,281,316,816,27.8%,-10,0,0
SDP,4.55,6338,23537,3.71,14589,62.4%,25.9%,17.0%,26.4%,30.8%,74.1%,1.8%,46.2%,77.1%,31.7%,5.0%,318,10,14.8%,937,421,9.1%,578,319,333,891,27.1%,-12,0,0
SEA,4.90,6220,22512,3.62,14412,64.4%,25.6%,13.7%,26.8%,34.0%,74.4%,1.4%,47.9%,81.7%,25.0%,4.6%,285,19,14.6%,908,431,7.6%,474,299,172,689,20.0%,-11,0,0
SFG,4.22,6227,22669,3.64,14217,63.5%,27.6%,12.4%,26.8%,33.3%,72.4%,3.1%,46.0%,82.9%,27.4%,5.3%,331,17,14.7%,914,349,8.0%,501,241,259,645,28.6%,-14,0,0
STL,4.48,6224,23074,3.71,14574,63.6%,26.8%,12.5%,28.2%,32.5%,73.2%,1.9%,46.5%,82.9%,30.3%,5.5%,342,12,14.3%,892,301,8.9%,554,301,244,660,26.8%,-13,0,0
TBD,4.83,6303,23890,3.79,14975,63.0%,23.9%,19.2%,27.8%,29.1%,76.1%,1.3%,48.0%,74.8%,34.1%,5.0%,316,29,14.2%,897,365,8.7%,546,304,298,1024,22.5%,-23,0,0
TEX,5.04,6228,24093,3.87,15138,63.1%,27.4%,15.6%,27.8%,29.3%,72.6%,1.0%,45.8%,78.6%,26.3%,4.4%,277,10,14.5%,905,370,9.1%,566,315,312,912,25.5%,-14,0,0
TOR,4.65,6201,23788,3.84,14814,62.5%,29.7%,13.8%,25.7%,30.9%,70.3%,1.1%,44.0%,80.4%,23.3%,5.0%,313,22,15.4%,955,341,9.7%,604,354,243,800,23.3%,-4,0,0
WSN,4.15,6210,23493,3.78,14808,63.4%,29.4%,14.4%,25.9%,30.4%,70.6%,1.6%,44.8%,79.6%,25.7%,5.2%,320,1,14.7%,911,283,9.0%,557,308,295,827,26.2%,-9,0,0
LgAvg,4.80,6300,23733,3.77,14863,63.0%,27.2%,14.5%,27.2%,31.1%,72.8%,1.7%,45.9%,80.1%,27.8%,5.0%,316,19,14.5%,917,355,8.8%,557,306,272,797,25.4%,-11,0,0
Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
,4.80,188988,711987,3.77,445878,63.0%,27.2%,14.5%,27.2%,31.1%,72.8%,1.7%,45.9%,80.1%,27.8%,5.0%,9475,570,14.5%,27496,10640,8.8%,16713,9180,8170,23907,25.4%,-365,0,0
