Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
SDP,4.22,6285,23674,3.77,14479,61.5%,29.3%,12.7%,25.9%,32.1%,70.7%,1.5%,43.5%,82.1%,25.6%,5.7%,357,26,16.0%,1007,385,10.1%,635,335,294,674,30.1%,-14,0,0
SEA,4.31,6118,22862,3.74,14391,63.4%,25.7%,14.4%,27.9%,31.9%,74.3%,2.1%,47.1%,80.6%,26.7%,5.0%,305,29,15.2%,930,420,8.4%,516,326,241,745,24.4%,-23,0,0
SFG,4.01,6089,21628,3.55,13853,64.4%,25.1%,13.3%,27.7%,33.9%,74.9%,1.3%,48.2%,82.3%,33.1%,4.2%,256,12,12.7%,771,309,8.2%,501,285,251,642,27.9%,-12,0,0
STL,4.97,6258,23024,3.68,14533,63.7%,26.4%,13.5%,27.7%,32.4%,73.6%,2.5%,46.9%,81.6%,30.4%,5.3%,330,20,14.9%,931,309,8.8%,548,256,243,698,25.7%,-12,0,0
TBD,4.63,6138,22081,3.60,14255,64.8%,25.3%,14.7%,27.4%,32.6%,74.7%,1.1%,48.4%,80.3%,30.1%,4.3%,267,18,12.7%,780,342,7.4%,457,259,235,754,23.7%,-18,0,0
TEX,5.34,6306,23930,3.79,15025,63.0%,25.5%,15.5%,28.0%,30.9%,74.5%,0.7%,46.9%,79.1%,27.9%,4.5%,285,35,14.8%,936,434,9.1%,575,369,273,839,24.6%,-5,0,0
TOR,4.78,6245,23214,3.72,14604,63.1%,28.2%,12.7%,26.8%,32.2%,71.8%,0.8%,45.3%,82.3%,25.4%,4.5%,284,7,13.8%,860,325,8.5%,531,299,235,720,24.6%,-12,0,0
WSN,3.94,6158,22798,3.70,14434,63.9%,27.4%,14.6%,27.0%,31.0%,72.6%,2.3%,46.4%,79.8%,27.6%,4.8%,298,12,13.9%,853,295,8.0%,491,274,290,787,26.6%,-16,0,0
LgAvg,4.59,6222,23206,3.73,14613,63.4%,27.2%,14.0%,27.2%,31.6%,72.8%,1.7%,46.1%,80.8%,28.1%,5.0%,308,20,14.5%,900,344,8.6%,534,297,271,746,26.5%,-11,0,0
Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
,4.59,186660,696166,3.73,438400,63.4%,27.2%,14.0%,27.2%,31.6%,72.8%,1.7%,46.1%,80.8%,28.1%,5.0%,9242,591,14.5%,26990,10329,8.6%,16006,8907,8134,22385,26.5%,-368,0,0
